City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
1178,Bluff,NZ,2020-03-03 01:22:39,-46.6,168.33,61.0,67,97,15.99
1179,Cidreira,BR,2020-03-03 01:24:31,-30.18,-50.21,73.38,75,7,22.35
1180,Punta Arenas,CL,2020-03-03 01:22:30,-53.15,-70.92,53.6,71,40,5.82
1181,Coquimbo,CL,2020-03-03 01:22:49,-29.95,-71.34,60.8,87,90,5.82
1182,Airai,TL,2020-03-03 01:22:36,-8.93,125.41,75.67,73,98,2.42
1183,Tasiilaq,GL,2020-03-03 01:22:41,65.61,-37.64,28.4,79,99,19.46
1184,Saint George,US,2020-03-03 01:22:32,37.1,-113.58,57.99,35,1,10.29
1185,Bredasdorp,ZA,2020-03-03 01:22:37,-34.53,20.04,69.01,93,23,4.7
1186,Ushuaia,AR,2020-03-03 01:18:58,-54.8,-68.3,53.6,58,75,34.45
1187,Victoria,HK,2020-03-03 01:24:08,22.29,114.16,71.01,72,40,17.22
1188,Hobart,AU,2020-03-03 01:21:43,-42.88,147.33,63.0,45,75,6.93
1189,Ushuaia,AR,2020-03-03 01:18:58,-54.8,-68.3,53.6,58,75,34.45
1190,San Juan,AR,2020-03-03 01:26:36,-31.54,-68.54,84.79,29,0,14.5
1191,Dolakovo,RU,2020-03-03 01:26:36,43.23,44.59,33.75,71,0,0.76
1192,Port Blair,IN,2020-03-03 01:24:59,11.67,92.75,80.11,72,24,10.0
1193,Udarnyy,RU,2020-03-03 01:26:37,54.34,42.86,33.94,80,100,9.31
1194,Aksu,CN,2020-03-03 01:26:37,41.12,80.26,39.42,44,32,5.39
1195,Tshela,CD,2020-03-03 01:26:37,-4.98,12.93,73.18,99,100,1.39
1196,Ribeira Grande,PT,2020-03-03 01:23:26,38.52,-28.7,61.02,95,87,18.03
1197,Torbay,CA,2020-03-03 01:23:24,47.67,-52.73,21.99,85,75,18.34
1198,Provideniya,RU,2020-03-03 01:22:58,64.38,-173.3,6.8,77,75,11.18
1199,Dali,CN,2020-03-03 01:26:38,25.7,100.18,40.32,80,32,2.86
